id,type,category,level,sentence_en,correct_ja,choices_ja,chatgpt_prompt
listening_0084,listening,security_meeting,intermediate,We need to check the cloud storage bucket before making a decision.,判断前に クラウドストレージバケット を確認する必要があります。,"[""判断前に クラウドストレージバケット を確認する必要があります。"", ""次のステップとして 本番サーバー の確認を推奨します。"", ""本日中に インシデントの時系列 について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: We need to check the cloud storage bucket before making a decision."
listening_0085,listening,security_meeting,beginner,We need to check the firewall rule before making a decision.,判断前に ファイアウォールルール を確認する必要があります。,"[""判断前に ファイアウォールルール を確認する必要があります。"", ""次のステップとして VPNサービス の確認を推奨します。"", ""本日中に ベンダー回答 について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: We need to check the firewall rule before making a decision."
listening_0086,listening,security_meeting,lower_intermediate,We need to check the vulnerability scan result before making a decision.,判断前に 脆弱性スキャン結果 を確認する必要があります。,"[""判断前に 脆弱性スキャン結果 を確認する必要があります。"", ""次のステップとして メールゲートウェイ の確認を推奨します。"", ""本日中に アクセス権レビュー について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: We need to check the vulnerability scan result before making a decision."
listening_0087,listening,security_meeting,intermediate,We need to check the incident timeline before making a decision.,判断前に インシデントの時系列 を確認する必要があります。,"[""判断前に インシデントの時系列 を確認する必要があります。"", ""次のステップとして クラウドストレージバケット の確認を推奨します。"", ""本日中に バックアップ状態 について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: We need to check the incident timeline before making a decision."
listening_0088,listening,security_meeting,beginner,We need to check the vendor response before making a decision.,判断前に ベンダー回答 を確認する必要があります。,"[""判断前に ベンダー回答 を確認する必要があります。"", ""次のステップとして ファイアウォールルール の確認を推奨します。"", ""本日中に 復旧計画 について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: We need to check the vendor response before making a decision."
listening_0089,listening,security_meeting,lower_intermediate,We need to check the access review before making a decision.,判断前に アクセス権レビュー を確認する必要があります。,"[""判断前に アクセス権レビュー を確認する必要があります。"", ""次のステップとして 脆弱性スキャン結果 の確認を推奨します。"", ""本日中に 法的要件 について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: We need to check the access review before making a decision."
listening_0090,listening,security_meeting,intermediate,We need to check the backup status before making a decision.,判断前に バックアップ状態 を確認する必要があります。,"[""判断前に バックアップ状態 を確認する必要があります。"", ""次のステップとして インシデントの時系列 の確認を推奨します。"", ""本日中に 監査証跡 について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: We need to check the backup status before making a decision."
listening_0091,listening,security_meeting,beginner,We need to check the recovery plan before making a decision.,判断前に 復旧計画 を確認する必要があります。,"[""判断前に 復旧計画 を確認する必要があります。"", ""次のステップとして ベンダー回答 の確認を推奨します。"", ""本日中に 監視ルール について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: We need to check the recovery plan before making a decision."
listening_0092,listening,security_meeting,lower_intermediate,We need to check the legal requirement before making a decision.,判断前に 法的要件 を確認する必要があります。,"[""判断前に 法的要件 を確認する必要があります。"", ""次のステップとして アクセス権レビュー の確認を推奨します。"", ""本日中に 影響を受けた端末 について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: We need to check the legal requirement before making a decision."
listening_0093,listening,security_meeting,intermediate,We need to check the audit evidence before making a decision.,判断前に 監査証跡 を確認する必要があります。,"[""判断前に 監査証跡 を確認する必要があります。"", ""次のステップとして バックアップ状態 の確認を推奨します。"", ""本日中に パッチ適用スケジュール について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: We need to check the audit evidence before making a decision."
listening_0094,listening,security_meeting,beginner,We need to check the monitoring rule before making a decision.,判断前に 監視ルール を確認する必要があります。,"[""判断前に 監視ルール を確認する必要があります。"", ""次のステップとして 復旧計画 の確認を推奨します。"", ""本日中に 特権アカウント について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: We need to check the monitoring rule before making a decision."
listening_0095,listening,security_meeting,lower_intermediate,We need to check the affected endpoint before making a decision.,判断前に 影響を受けた端末 を確認する必要があります。,"[""判断前に 影響を受けた端末 を確認する必要があります。"", ""次のステップとして 法的要件 の確認を推奨します。"", ""本日中に 不審なドメイン について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: We need to check the affected endpoint before making a decision."
listening_0096,listening,security_meeting,intermediate,We need to check the patch schedule before making a decision.,判断前に パッチ適用スケジュール を確認する必要があります。,"[""判断前に パッチ適用スケジュール を確認する必要があります。"", ""次のステップとして 監査証跡 の確認を推奨します。"", ""本日中に DDoS対策状況 について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: We need to check the patch schedule before making a decision."
listening_0097,listening,security_meeting,beginner,We need to check the privileged account before making a decision.,判断前に 特権アカウント を確認する必要があります。,"[""判断前に 特権アカウント を確認する必要があります。"", ""次のステップとして 監視ルール の確認を推奨します。"", ""本日中に サービス影響 について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: We need to check the privileged account before making a decision."
listening_0098,listening,security_meeting,lower_intermediate,We need to check the suspicious domain before making a decision.,判断前に 不審なドメイン を確認する必要があります。,"[""判断前に 不審なドメイン を確認する必要があります。"", ""次のステップとして 影響を受けた端末 の確認を推奨します。"", ""主な懸念は 利用者アカウント への影響です。""]","Read this sentence slowly first, then at normal meeting speed: We need to check the suspicious domain before making a decision."
listening_0099,listening,security_meeting,intermediate,We need to check the DDoS mitigation status before making a decision.,判断前に DDoS対策状況 を確認する必要があります。,"[""判断前に DDoS対策状況 を確認する必要があります。"", ""次のステップとして パッチ適用スケジュール の確認を推奨します。"", ""主な懸念は 顧客データ への影響です。""]","Read this sentence slowly first, then at normal meeting speed: We need to check the DDoS mitigation status before making a decision."
listening_0100,listening,security_meeting,beginner,We need to check the service impact before making a decision.,判断前に サービス影響 を確認する必要があります。,"[""判断前に サービス影響 を確認する必要があります。"", ""次のステップとして 特権アカウント の確認を推奨します。"", ""主な懸念は 本番サーバー への影響です。""]","Read this sentence slowly first, then at normal meeting speed: We need to check the service impact before making a decision."
listening_0101,listening,security_meeting,lower_intermediate,I recommend reviewing user accounts as the next step.,次のステップとして 利用者アカウント の確認を推奨します。,"[""次のステップとして 利用者アカウント の確認を推奨します。"", ""次のステップとして 不審なドメイン の確認を推奨します。"", ""主な懸念は VPNサービス への影響です。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing user accounts as the next step."
listening_0102,listening,security_meeting,intermediate,I recommend reviewing customer data as the next step.,次のステップとして 顧客データ の確認を推奨します。,"[""次のステップとして 顧客データ の確認を推奨します。"", ""次のステップとして DDoS対策状況 の確認を推奨します。"", ""主な懸念は メールゲートウェイ への影響です。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing customer data as the next step."
listening_0103,listening,security_meeting,beginner,I recommend reviewing the production server as the next step.,次のステップとして 本番サーバー の確認を推奨します。,"[""次のステップとして 本番サーバー の確認を推奨します。"", ""次のステップとして サービス影響 の確認を推奨します。"", ""主な懸念は クラウドストレージバケット への影響です。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing the production server as the next step."
listening_0104,listening,security_meeting,lower_intermediate,I recommend reviewing the VPN service as the next step.,次のステップとして VPNサービス の確認を推奨します。,"[""次のステップとして VPNサービス の確認を推奨します。"", ""本日中に 利用者アカウント について更新を送ってください。"", ""主な懸念は ファイアウォールルール への影響です。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing the VPN service as the next step."
listening_0105,listening,security_meeting,intermediate,I recommend reviewing the email gateway as the next step.,次のステップとして メールゲートウェイ の確認を推奨します。,"[""次のステップとして メールゲートウェイ の確認を推奨します。"", ""本日中に 顧客データ について更新を送ってください。"", ""主な懸念は 脆弱性スキャン結果 への影響です。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing the email gateway as the next step."
listening_0106,listening,security_meeting,beginner,I recommend reviewing the cloud storage bucket as the next step.,次のステップとして クラウドストレージバケット の確認を推奨します。,"[""次のステップとして クラウドストレージバケット の確認を推奨します。"", ""本日中に 本番サーバー について更新を送ってください。"", ""主な懸念は インシデントの時系列 への影響です。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing the cloud storage bucket as the next step."
listening_0107,listening,security_meeting,lower_intermediate,I recommend reviewing the firewall rule as the next step.,次のステップとして ファイアウォールルール の確認を推奨します。,"[""次のステップとして ファイアウォールルール の確認を推奨します。"", ""本日中に VPNサービス について更新を送ってください。"", ""主な懸念は ベンダー回答 への影響です。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing the firewall rule as the next step."
listening_0108,listening,security_meeting,intermediate,I recommend reviewing the vulnerability scan result as the next step.,次のステップとして 脆弱性スキャン結果 の確認を推奨します。,"[""次のステップとして 脆弱性スキャン結果 の確認を推奨します。"", ""本日中に メールゲートウェイ について更新を送ってください。"", ""主な懸念は アクセス権レビュー への影響です。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing the vulnerability scan result as the next step."
listening_0109,listening,security_meeting,beginner,I recommend reviewing the incident timeline as the next step.,次のステップとして インシデントの時系列 の確認を推奨します。,"[""次のステップとして インシデントの時系列 の確認を推奨します。"", ""本日中に クラウドストレージバケット について更新を送ってください。"", ""主な懸念は バックアップ状態 への影響です。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing the incident timeline as the next step."
listening_0110,listening,security_meeting,lower_intermediate,I recommend reviewing the vendor response as the next step.,次のステップとして ベンダー回答 の確認を推奨します。,"[""次のステップとして ベンダー回答 の確認を推奨します。"", ""本日中に ファイアウォールルール について更新を送ってください。"", ""主な懸念は 復旧計画 への影響です。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing the vendor response as the next step."
listening_0111,listening,security_meeting,intermediate,I recommend reviewing the access review as the next step.,次のステップとして アクセス権レビュー の確認を推奨します。,"[""次のステップとして アクセス権レビュー の確認を推奨します。"", ""本日中に 脆弱性スキャン結果 について更新を送ってください。"", ""主な懸念は 法的要件 への影響です。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing the access review as the next step."
listening_0112,listening,security_meeting,beginner,I recommend reviewing the backup status as the next step.,次のステップとして バックアップ状態 の確認を推奨します。,"[""次のステップとして バックアップ状態 の確認を推奨します。"", ""本日中に インシデントの時系列 について更新を送ってください。"", ""主な懸念は 監査証跡 への影響です。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing the backup status as the next step."
listening_0113,listening,security_meeting,lower_intermediate,I recommend reviewing the recovery plan as the next step.,次のステップとして 復旧計画 の確認を推奨します。,"[""次のステップとして 復旧計画 の確認を推奨します。"", ""本日中に ベンダー回答 について更新を送ってください。"", ""主な懸念は 監視ルール への影響です。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing the recovery plan as the next step."
listening_0114,listening,security_meeting,intermediate,I recommend reviewing the legal requirement as the next step.,次のステップとして 法的要件 の確認を推奨します。,"[""次のステップとして 法的要件 の確認を推奨します。"", ""本日中に アクセス権レビュー について更新を送ってください。"", ""主な懸念は 影響を受けた端末 への影響です。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing the legal requirement as the next step."
listening_0115,listening,security_meeting,beginner,I recommend reviewing the audit evidence as the next step.,次のステップとして 監査証跡 の確認を推奨します。,"[""次のステップとして 監査証跡 の確認を推奨します。"", ""本日中に バックアップ状態 について更新を送ってください。"", ""主な懸念は パッチ適用スケジュール への影響です。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing the audit evidence as the next step."
listening_0116,listening,security_meeting,lower_intermediate,I recommend reviewing the monitoring rule as the next step.,次のステップとして 監視ルール の確認を推奨します。,"[""次のステップとして 監視ルール の確認を推奨します。"", ""本日中に 復旧計画 について更新を送ってください。"", ""主な懸念は 特権アカウント への影響です。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing the monitoring rule as the next step."
listening_0117,listening,security_meeting,intermediate,I recommend reviewing the affected endpoint as the next step.,次のステップとして 影響を受けた端末 の確認を推奨します。,"[""次のステップとして 影響を受けた端末 の確認を推奨します。"", ""本日中に 法的要件 について更新を送ってください。"", ""主な懸念は 不審なドメイン への影響です。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing the affected endpoint as the next step."
listening_0118,listening,security_meeting,beginner,I recommend reviewing the patch schedule as the next step.,次のステップとして パッチ適用スケジュール の確認を推奨します。,"[""次のステップとして パッチ適用スケジュール の確認を推奨します。"", ""本日中に 監査証跡 について更新を送ってください。"", ""主な懸念は DDoS対策状況 への影響です。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing the patch schedule as the next step."
listening_0119,listening,security_meeting,lower_intermediate,I recommend reviewing the privileged account as the next step.,次のステップとして 特権アカウント の確認を推奨します。,"[""次のステップとして 特権アカウント の確認を推奨します。"", ""本日中に 監視ルール について更新を送ってください。"", ""主な懸念は サービス影響 への影響です。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing the privileged account as the next step."
listening_0120,listening,security_meeting,intermediate,I recommend reviewing the suspicious domain as the next step.,次のステップとして 不審なドメイン の確認を推奨します。,"[""次のステップとして 不審なドメイン の確認を推奨します。"", ""本日中に 影響を受けた端末 について更新を送ってください。"", ""利用者アカウント に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing the suspicious domain as the next step."
listening_0121,listening,security_meeting,beginner,I recommend reviewing the DDoS mitigation status as the next step.,次のステップとして DDoS対策状況 の確認を推奨します。,"[""次のステップとして DDoS対策状況 の確認を推奨します。"", ""本日中に パッチ適用スケジュール について更新を送ってください。"", ""顧客データ に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing the DDoS mitigation status as the next step."
listening_0122,listening,security_meeting,lower_intermediate,I recommend reviewing the service impact as the next step.,次のステップとして サービス影響 の確認を推奨します。,"[""次のステップとして サービス影響 の確認を推奨します。"", ""本日中に 特権アカウント について更新を送ってください。"", ""本番サーバー に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: I recommend reviewing the service impact as the next step."
listening_0123,listening,security_meeting,intermediate,Please send an update about user accounts by the end of the day.,本日中に 利用者アカウント について更新を送ってください。,"[""本日中に 利用者アカウント について更新を送ってください。"", ""本日中に 不審なドメイン について更新を送ってください。"", ""VPNサービス に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about user accounts by the end of the day."
listening_0124,listening,security_meeting,beginner,Please send an update about customer data by the end of the day.,本日中に 顧客データ について更新を送ってください。,"[""本日中に 顧客データ について更新を送ってください。"", ""本日中に DDoS対策状況 について更新を送ってください。"", ""メールゲートウェイ に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about customer data by the end of the day."
listening_0125,listening,security_meeting,lower_intermediate,Please send an update about the production server by the end of the day.,本日中に 本番サーバー について更新を送ってください。,"[""本日中に 本番サーバー について更新を送ってください。"", ""本日中に サービス影響 について更新を送ってください。"", ""クラウドストレージバケット に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about the production server by the end of the day."
listening_0126,listening,security_meeting,intermediate,Please send an update about the VPN service by the end of the day.,本日中に VPNサービス について更新を送ってください。,"[""本日中に VPNサービス について更新を送ってください。"", ""主な懸念は 利用者アカウント への影響です。"", ""ファイアウォールルール に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about the VPN service by the end of the day."
listening_0127,listening,security_meeting,beginner,Please send an update about the email gateway by the end of the day.,本日中に メールゲートウェイ について更新を送ってください。,"[""本日中に メールゲートウェイ について更新を送ってください。"", ""主な懸念は 顧客データ への影響です。"", ""脆弱性スキャン結果 に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about the email gateway by the end of the day."
listening_0128,listening,security_meeting,lower_intermediate,Please send an update about the cloud storage bucket by the end of the day.,本日中に クラウドストレージバケット について更新を送ってください。,"[""本日中に クラウドストレージバケット について更新を送ってください。"", ""主な懸念は 本番サーバー への影響です。"", ""インシデントの時系列 に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about the cloud storage bucket by the end of the day."
listening_0129,listening,security_meeting,intermediate,Please send an update about the firewall rule by the end of the day.,本日中に ファイアウォールルール について更新を送ってください。,"[""本日中に ファイアウォールルール について更新を送ってください。"", ""主な懸念は VPNサービス への影響です。"", ""ベンダー回答 に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about the firewall rule by the end of the day."
listening_0130,listening,security_meeting,beginner,Please send an update about the vulnerability scan result by the end of the day.,本日中に 脆弱性スキャン結果 について更新を送ってください。,"[""本日中に 脆弱性スキャン結果 について更新を送ってください。"", ""主な懸念は メールゲートウェイ への影響です。"", ""アクセス権レビュー に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about the vulnerability scan result by the end of the day."
listening_0131,listening,security_meeting,lower_intermediate,Please send an update about the incident timeline by the end of the day.,本日中に インシデントの時系列 について更新を送ってください。,"[""本日中に インシデントの時系列 について更新を送ってください。"", ""主な懸念は クラウドストレージバケット への影響です。"", ""バックアップ状態 に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about the incident timeline by the end of the day."
listening_0132,listening,security_meeting,intermediate,Please send an update about the vendor response by the end of the day.,本日中に ベンダー回答 について更新を送ってください。,"[""本日中に ベンダー回答 について更新を送ってください。"", ""主な懸念は ファイアウォールルール への影響です。"", ""復旧計画 に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about the vendor response by the end of the day."
listening_0133,listening,security_meeting,beginner,Please send an update about the access review by the end of the day.,本日中に アクセス権レビュー について更新を送ってください。,"[""本日中に アクセス権レビュー について更新を送ってください。"", ""主な懸念は 脆弱性スキャン結果 への影響です。"", ""法的要件 に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about the access review by the end of the day."
listening_0134,listening,security_meeting,lower_intermediate,Please send an update about the backup status by the end of the day.,本日中に バックアップ状態 について更新を送ってください。,"[""本日中に バックアップ状態 について更新を送ってください。"", ""主な懸念は インシデントの時系列 への影響です。"", ""監査証跡 に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about the backup status by the end of the day."
listening_0135,listening,security_meeting,intermediate,Please send an update about the recovery plan by the end of the day.,本日中に 復旧計画 について更新を送ってください。,"[""本日中に 復旧計画 について更新を送ってください。"", ""主な懸念は ベンダー回答 への影響です。"", ""監視ルール に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about the recovery plan by the end of the day."
listening_0136,listening,security_meeting,beginner,Please send an update about the legal requirement by the end of the day.,本日中に 法的要件 について更新を送ってください。,"[""本日中に 法的要件 について更新を送ってください。"", ""主な懸念は アクセス権レビュー への影響です。"", ""影響を受けた端末 に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about the legal requirement by the end of the day."
listening_0137,listening,security_meeting,lower_intermediate,Please send an update about the audit evidence by the end of the day.,本日中に 監査証跡 について更新を送ってください。,"[""本日中に 監査証跡 について更新を送ってください。"", ""主な懸念は バックアップ状態 への影響です。"", ""パッチ適用スケジュール に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about the audit evidence by the end of the day."
listening_0138,listening,security_meeting,intermediate,Please send an update about the monitoring rule by the end of the day.,本日中に 監視ルール について更新を送ってください。,"[""本日中に 監視ルール について更新を送ってください。"", ""主な懸念は 復旧計画 への影響です。"", ""特権アカウント に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about the monitoring rule by the end of the day."
listening_0139,listening,security_meeting,beginner,Please send an update about the affected endpoint by the end of the day.,本日中に 影響を受けた端末 について更新を送ってください。,"[""本日中に 影響を受けた端末 について更新を送ってください。"", ""主な懸念は 法的要件 への影響です。"", ""不審なドメイン に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about the affected endpoint by the end of the day."
listening_0140,listening,security_meeting,lower_intermediate,Please send an update about the patch schedule by the end of the day.,本日中に パッチ適用スケジュール について更新を送ってください。,"[""本日中に パッチ適用スケジュール について更新を送ってください。"", ""主な懸念は 監査証跡 への影響です。"", ""DDoS対策状況 に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about the patch schedule by the end of the day."
listening_0141,listening,security_meeting,intermediate,Please send an update about the privileged account by the end of the day.,本日中に 特権アカウント について更新を送ってください。,"[""本日中に 特権アカウント について更新を送ってください。"", ""主な懸念は 監視ルール への影響です。"", ""サービス影響 に関する決定を文書化しましょう。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about the privileged account by the end of the day."
listening_0142,listening,security_meeting,beginner,Please send an update about the suspicious domain by the end of the day.,本日中に 不審なドメイン について更新を送ってください。,"[""本日中に 不審なドメイン について更新を送ってください。"", ""主な懸念は 影響を受けた端末 への影響です。"", ""利用者アカウント の現在状況を説明していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about the suspicious domain by the end of the day."
listening_0143,listening,security_meeting,lower_intermediate,Please send an update about the DDoS mitigation status by the end of the day.,本日中に DDoS対策状況 について更新を送ってください。,"[""本日中に DDoS対策状況 について更新を送ってください。"", ""主な懸念は パッチ適用スケジュール への影響です。"", ""顧客データ の現在状況を説明していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about the DDoS mitigation status by the end of the day."
listening_0144,listening,security_meeting,intermediate,Please send an update about the service impact by the end of the day.,本日中に サービス影響 について更新を送ってください。,"[""本日中に サービス影響 について更新を送ってください。"", ""主な懸念は 特権アカウント への影響です。"", ""本番サーバー の現在状況を説明していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: Please send an update about the service impact by the end of the day."
listening_0145,listening,security_meeting,beginner,The main concern is the impact on user accounts.,主な懸念は 利用者アカウント への影響です。,"[""主な懸念は 利用者アカウント への影響です。"", ""主な懸念は 不審なドメイン への影響です。"", ""VPNサービス の現在状況を説明していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: The main concern is the impact on user accounts."
listening_0146,listening,security_meeting,lower_intermediate,The main concern is the impact on customer data.,主な懸念は 顧客データ への影響です。,"[""主な懸念は 顧客データ への影響です。"", ""主な懸念は DDoS対策状況 への影響です。"", ""メールゲートウェイ の現在状況を説明していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: The main concern is the impact on customer data."
listening_0147,listening,security_meeting,intermediate,The main concern is the impact on the production server.,主な懸念は 本番サーバー への影響です。,"[""主な懸念は 本番サーバー への影響です。"", ""主な懸念は サービス影響 への影響です。"", ""クラウドストレージバケット の現在状況を説明していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: The main concern is the impact on the production server."
listening_0148,listening,security_meeting,beginner,The main concern is the impact on the VPN service.,主な懸念は VPNサービス への影響です。,"[""主な懸念は VPNサービス への影響です。"", ""利用者アカウント に関する決定を文書化しましょう。"", ""ファイアウォールルール の現在状況を説明していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: The main concern is the impact on the VPN service."
listening_0149,listening,security_meeting,lower_intermediate,The main concern is the impact on the email gateway.,主な懸念は メールゲートウェイ への影響です。,"[""主な懸念は メールゲートウェイ への影響です。"", ""顧客データ に関する決定を文書化しましょう。"", ""脆弱性スキャン結果 の現在状況を説明していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: The main concern is the impact on the email gateway."
listening_0150,listening,security_meeting,intermediate,The main concern is the impact on the cloud storage bucket.,主な懸念は クラウドストレージバケット への影響です。,"[""主な懸念は クラウドストレージバケット への影響です。"", ""本番サーバー に関する決定を文書化しましょう。"", ""インシデントの時系列 の現在状況を説明していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: The main concern is the impact on the cloud storage bucket."
listening_0151,listening,security_meeting,beginner,The main concern is the impact on the firewall rule.,主な懸念は ファイアウォールルール への影響です。,"[""主な懸念は ファイアウォールルール への影響です。"", ""VPNサービス に関する決定を文書化しましょう。"", ""ベンダー回答 の現在状況を説明していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: The main concern is the impact on the firewall rule."
listening_0152,listening,security_meeting,lower_intermediate,The main concern is the impact on the vulnerability scan result.,主な懸念は 脆弱性スキャン結果 への影響です。,"[""主な懸念は 脆弱性スキャン結果 への影響です。"", ""メールゲートウェイ に関する決定を文書化しましょう。"", ""アクセス権レビュー の現在状況を説明していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: The main concern is the impact on the vulnerability scan result."
listening_0153,listening,security_meeting,intermediate,The main concern is the impact on the incident timeline.,主な懸念は インシデントの時系列 への影響です。,"[""主な懸念は インシデントの時系列 への影響です。"", ""クラウドストレージバケット に関する決定を文書化しましょう。"", ""バックアップ状態 の現在状況を説明していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: The main concern is the impact on the incident timeline."
listening_0154,listening,security_meeting,beginner,The main concern is the impact on the vendor response.,主な懸念は ベンダー回答 への影響です。,"[""主な懸念は ベンダー回答 への影響です。"", ""ファイアウォールルール に関する決定を文書化しましょう。"", ""復旧計画 の現在状況を説明していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: The main concern is the impact on the vendor response."
listening_0155,listening,security_meeting,lower_intermediate,The main concern is the impact on the access review.,主な懸念は アクセス権レビュー への影響です。,"[""主な懸念は アクセス権レビュー への影響です。"", ""脆弱性スキャン結果 に関する決定を文書化しましょう。"", ""法的要件 の現在状況を説明していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: The main concern is the impact on the access review."
listening_0156,listening,security_meeting,intermediate,The main concern is the impact on the backup status.,主な懸念は バックアップ状態 への影響です。,"[""主な懸念は バックアップ状態 への影響です。"", ""インシデントの時系列 に関する決定を文書化しましょう。"", ""監査証跡 の現在状況を説明していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: The main concern is the impact on the backup status."
listening_0157,listening,security_meeting,beginner,The main concern is the impact on the recovery plan.,主な懸念は 復旧計画 への影響です。,"[""主な懸念は 復旧計画 への影響です。"", ""ベンダー回答 に関する決定を文書化しましょう。"", ""監視ルール の現在状況を説明していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: The main concern is the impact on the recovery plan."
listening_0158,listening,security_meeting,lower_intermediate,The main concern is the impact on the legal requirement.,主な懸念は 法的要件 への影響です。,"[""主な懸念は 法的要件 への影響です。"", ""アクセス権レビュー に関する決定を文書化しましょう。"", ""影響を受けた端末 の現在状況を説明していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: The main concern is the impact on the legal requirement."
listening_0159,listening,security_meeting,intermediate,The main concern is the impact on the audit evidence.,主な懸念は 監査証跡 への影響です。,"[""主な懸念は 監査証跡 への影響です。"", ""バックアップ状態 に関する決定を文書化しましょう。"", ""パッチ適用スケジュール の現在状況を説明していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: The main concern is the impact on the audit evidence."
listening_0160,listening,security_meeting,beginner,The main concern is the impact on the monitoring rule.,主な懸念は 監視ルール への影響です。,"[""主な懸念は 監視ルール への影響です。"", ""復旧計画 に関する決定を文書化しましょう。"", ""特権アカウント の現在状況を説明していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: The main concern is the impact on the monitoring rule."
listening_0161,listening,security_meeting,lower_intermediate,The main concern is the impact on the affected endpoint.,主な懸念は 影響を受けた端末 への影響です。,"[""主な懸念は 影響を受けた端末 への影響です。"", ""法的要件 に関する決定を文書化しましょう。"", ""不審なドメイン の現在状況を説明していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: The main concern is the impact on the affected endpoint."
