id,type,function,level,sentence_en,meaning_ja,tags
phrase_0151,meeting_phrase,意見・賛成・反対,beginner,The main concern is the impact on the firewall rule.,主な懸念は ファイアウォールルール への影響です。,"[""意見・賛成・反対"", ""template"", ""beginner""]"
phrase_0152,meeting_phrase,意見・賛成・反対,lower_intermediate,The main concern is the impact on the vulnerability scan result.,主な懸念は 脆弱性スキャン結果 への影響です。,"[""意見・賛成・反対"", ""template"", ""lower_intermediate""]"
phrase_0153,meeting_phrase,意見・賛成・反対,intermediate,The main concern is the impact on the incident timeline.,主な懸念は インシデントの時系列 への影響です。,"[""意見・賛成・反対"", ""template"", ""intermediate""]"
phrase_0154,meeting_phrase,意見・賛成・反対,beginner,The main concern is the impact on the vendor response.,主な懸念は ベンダー回答 への影響です。,"[""意見・賛成・反対"", ""template"", ""beginner""]"
phrase_0155,meeting_phrase,意見・賛成・反対,lower_intermediate,The main concern is the impact on the access review.,主な懸念は アクセス権レビュー への影響です。,"[""意見・賛成・反対"", ""template"", ""lower_intermediate""]"
phrase_0156,meeting_phrase,意見・賛成・反対,intermediate,The main concern is the impact on the backup status.,主な懸念は バックアップ状態 への影響です。,"[""意見・賛成・反対"", ""template"", ""intermediate""]"
phrase_0157,meeting_phrase,意見・賛成・反対,beginner,The main concern is the impact on the recovery plan.,主な懸念は 復旧計画 への影響です。,"[""意見・賛成・反対"", ""template"", ""beginner""]"
phrase_0158,meeting_phrase,意見・賛成・反対,lower_intermediate,The main concern is the impact on the legal requirement.,主な懸念は 法的要件 への影響です。,"[""意見・賛成・反対"", ""template"", ""lower_intermediate""]"
phrase_0159,meeting_phrase,意見・賛成・反対,intermediate,The main concern is the impact on the audit evidence.,主な懸念は 監査証跡 への影響です。,"[""意見・賛成・反対"", ""template"", ""intermediate""]"
phrase_0160,meeting_phrase,意見・賛成・反対,beginner,The main concern is the impact on the monitoring rule.,主な懸念は 監視ルール への影響です。,"[""意見・賛成・反対"", ""template"", ""beginner""]"
phrase_0161,meeting_phrase,意見・賛成・反対,lower_intermediate,The main concern is the impact on the affected endpoint.,主な懸念は 影響を受けた端末 への影響です。,"[""意見・賛成・反対"", ""template"", ""lower_intermediate""]"
phrase_0162,meeting_phrase,意見・賛成・反対,intermediate,The main concern is the impact on the patch schedule.,主な懸念は パッチ適用スケジュール への影響です。,"[""意見・賛成・反対"", ""template"", ""intermediate""]"
phrase_0163,meeting_phrase,意見・賛成・反対,beginner,The main concern is the impact on the privileged account.,主な懸念は 特権アカウント への影響です。,"[""意見・賛成・反対"", ""template"", ""beginner""]"
phrase_0164,meeting_phrase,意見・賛成・反対,lower_intermediate,The main concern is the impact on the suspicious domain.,主な懸念は 不審なドメイン への影響です。,"[""意見・賛成・反対"", ""template"", ""lower_intermediate""]"
phrase_0165,meeting_phrase,意見・賛成・反対,intermediate,The main concern is the impact on the DDoS mitigation status.,主な懸念は DDoS対策状況 への影響です。,"[""意見・賛成・反対"", ""template"", ""intermediate""]"
phrase_0166,meeting_phrase,意見・賛成・反対,beginner,The main concern is the impact on the service impact.,主な懸念は サービス影響 への影響です。,"[""意見・賛成・反対"", ""template"", ""beginner""]"
phrase_0167,meeting_phrase,会議進行・まとめ,lower_intermediate,Let's document the decision about user accounts.,利用者アカウント に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""lower_intermediate""]"
phrase_0168,meeting_phrase,会議進行・まとめ,intermediate,Let's document the decision about customer data.,顧客データ に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""intermediate""]"
phrase_0169,meeting_phrase,会議進行・まとめ,beginner,Let's document the decision about the production server.,本番サーバー に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""beginner""]"
phrase_0170,meeting_phrase,会議進行・まとめ,lower_intermediate,Let's document the decision about the VPN service.,VPNサービス に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""lower_intermediate""]"
phrase_0171,meeting_phrase,会議進行・まとめ,intermediate,Let's document the decision about the email gateway.,メールゲートウェイ に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""intermediate""]"
phrase_0172,meeting_phrase,会議進行・まとめ,beginner,Let's document the decision about the cloud storage bucket.,クラウドストレージバケット に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""beginner""]"
phrase_0173,meeting_phrase,会議進行・まとめ,lower_intermediate,Let's document the decision about the firewall rule.,ファイアウォールルール に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""lower_intermediate""]"
phrase_0174,meeting_phrase,会議進行・まとめ,intermediate,Let's document the decision about the vulnerability scan result.,脆弱性スキャン結果 に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""intermediate""]"
phrase_0175,meeting_phrase,会議進行・まとめ,beginner,Let's document the decision about the incident timeline.,インシデントの時系列 に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""beginner""]"
phrase_0176,meeting_phrase,会議進行・まとめ,lower_intermediate,Let's document the decision about the vendor response.,ベンダー回答 に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""lower_intermediate""]"
phrase_0177,meeting_phrase,会議進行・まとめ,intermediate,Let's document the decision about the access review.,アクセス権レビュー に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""intermediate""]"
phrase_0178,meeting_phrase,会議進行・まとめ,beginner,Let's document the decision about the backup status.,バックアップ状態 に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""beginner""]"
phrase_0179,meeting_phrase,会議進行・まとめ,lower_intermediate,Let's document the decision about the recovery plan.,復旧計画 に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""lower_intermediate""]"
phrase_0180,meeting_phrase,会議進行・まとめ,intermediate,Let's document the decision about the legal requirement.,法的要件 に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""intermediate""]"
phrase_0181,meeting_phrase,会議進行・まとめ,beginner,Let's document the decision about the audit evidence.,監査証跡 に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""beginner""]"
phrase_0182,meeting_phrase,会議進行・まとめ,lower_intermediate,Let's document the decision about the monitoring rule.,監視ルール に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""lower_intermediate""]"
phrase_0183,meeting_phrase,会議進行・まとめ,intermediate,Let's document the decision about the affected endpoint.,影響を受けた端末 に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""intermediate""]"
phrase_0184,meeting_phrase,会議進行・まとめ,beginner,Let's document the decision about the patch schedule.,パッチ適用スケジュール に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""beginner""]"
phrase_0185,meeting_phrase,会議進行・まとめ,lower_intermediate,Let's document the decision about the privileged account.,特権アカウント に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""lower_intermediate""]"
phrase_0186,meeting_phrase,会議進行・まとめ,intermediate,Let's document the decision about the suspicious domain.,不審なドメイン に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""intermediate""]"
phrase_0187,meeting_phrase,会議進行・まとめ,beginner,Let's document the decision about the DDoS mitigation status.,DDoS対策状況 に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""beginner""]"
phrase_0188,meeting_phrase,会議進行・まとめ,lower_intermediate,Let's document the decision about the service impact.,サービス影響 に関する決定を文書化しましょう。,"[""会議進行・まとめ"", ""template"", ""lower_intermediate""]"
phrase_0189,meeting_phrase,確認・明確化,intermediate,Could you explain the current status of user accounts?,利用者アカウント の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""intermediate""]"
phrase_0190,meeting_phrase,確認・明確化,beginner,Could you explain the current status of customer data?,顧客データ の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""beginner""]"
phrase_0191,meeting_phrase,確認・明確化,lower_intermediate,Could you explain the current status of the production server?,本番サーバー の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""lower_intermediate""]"
phrase_0192,meeting_phrase,確認・明確化,intermediate,Could you explain the current status of the VPN service?,VPNサービス の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""intermediate""]"
phrase_0193,meeting_phrase,確認・明確化,beginner,Could you explain the current status of the email gateway?,メールゲートウェイ の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""beginner""]"
phrase_0194,meeting_phrase,確認・明確化,lower_intermediate,Could you explain the current status of the cloud storage bucket?,クラウドストレージバケット の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""lower_intermediate""]"
phrase_0195,meeting_phrase,確認・明確化,intermediate,Could you explain the current status of the firewall rule?,ファイアウォールルール の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""intermediate""]"
phrase_0196,meeting_phrase,確認・明確化,beginner,Could you explain the current status of the vulnerability scan result?,脆弱性スキャン結果 の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""beginner""]"
phrase_0197,meeting_phrase,確認・明確化,lower_intermediate,Could you explain the current status of the incident timeline?,インシデントの時系列 の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""lower_intermediate""]"
phrase_0198,meeting_phrase,確認・明確化,intermediate,Could you explain the current status of the vendor response?,ベンダー回答 の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""intermediate""]"
phrase_0199,meeting_phrase,確認・明確化,beginner,Could you explain the current status of the access review?,アクセス権レビュー の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""beginner""]"
phrase_0200,meeting_phrase,確認・明確化,lower_intermediate,Could you explain the current status of the backup status?,バックアップ状態 の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""lower_intermediate""]"
phrase_0201,meeting_phrase,確認・明確化,intermediate,Could you explain the current status of the recovery plan?,復旧計画 の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""intermediate""]"
phrase_0202,meeting_phrase,確認・明確化,beginner,Could you explain the current status of the legal requirement?,法的要件 の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""beginner""]"
phrase_0203,meeting_phrase,確認・明確化,lower_intermediate,Could you explain the current status of the audit evidence?,監査証跡 の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""lower_intermediate""]"
phrase_0204,meeting_phrase,確認・明確化,intermediate,Could you explain the current status of the monitoring rule?,監視ルール の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""intermediate""]"
phrase_0205,meeting_phrase,確認・明確化,beginner,Could you explain the current status of the affected endpoint?,影響を受けた端末 の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""beginner""]"
phrase_0206,meeting_phrase,確認・明確化,lower_intermediate,Could you explain the current status of the patch schedule?,パッチ適用スケジュール の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""lower_intermediate""]"
phrase_0207,meeting_phrase,確認・明確化,intermediate,Could you explain the current status of the privileged account?,特権アカウント の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""intermediate""]"
phrase_0208,meeting_phrase,確認・明確化,beginner,Could you explain the current status of the suspicious domain?,不審なドメイン の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""beginner""]"
phrase_0209,meeting_phrase,確認・明確化,lower_intermediate,Could you explain the current status of the DDoS mitigation status?,DDoS対策状況 の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""lower_intermediate""]"
phrase_0210,meeting_phrase,確認・明確化,intermediate,Could you explain the current status of the service impact?,サービス影響 の現在状況を説明していただけますか。,"[""確認・明確化"", ""template"", ""intermediate""]"
phrase_0211,meeting_phrase,依頼・担当・期限,beginner,We should assign an owner for user accounts.,利用者アカウント の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""beginner""]"
phrase_0212,meeting_phrase,依頼・担当・期限,lower_intermediate,We should assign an owner for customer data.,顧客データ の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""lower_intermediate""]"
phrase_0213,meeting_phrase,依頼・担当・期限,intermediate,We should assign an owner for the production server.,本番サーバー の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""intermediate""]"
phrase_0214,meeting_phrase,依頼・担当・期限,beginner,We should assign an owner for the VPN service.,VPNサービス の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""beginner""]"
phrase_0215,meeting_phrase,依頼・担当・期限,lower_intermediate,We should assign an owner for the email gateway.,メールゲートウェイ の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""lower_intermediate""]"
phrase_0216,meeting_phrase,依頼・担当・期限,intermediate,We should assign an owner for the cloud storage bucket.,クラウドストレージバケット の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""intermediate""]"
phrase_0217,meeting_phrase,依頼・担当・期限,beginner,We should assign an owner for the firewall rule.,ファイアウォールルール の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""beginner""]"
phrase_0218,meeting_phrase,依頼・担当・期限,lower_intermediate,We should assign an owner for the vulnerability scan result.,脆弱性スキャン結果 の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""lower_intermediate""]"
phrase_0219,meeting_phrase,依頼・担当・期限,intermediate,We should assign an owner for the incident timeline.,インシデントの時系列 の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""intermediate""]"
phrase_0220,meeting_phrase,依頼・担当・期限,beginner,We should assign an owner for the vendor response.,ベンダー回答 の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""beginner""]"
phrase_0221,meeting_phrase,依頼・担当・期限,lower_intermediate,We should assign an owner for the access review.,アクセス権レビュー の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""lower_intermediate""]"
phrase_0222,meeting_phrase,依頼・担当・期限,intermediate,We should assign an owner for the backup status.,バックアップ状態 の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""intermediate""]"
phrase_0223,meeting_phrase,依頼・担当・期限,beginner,We should assign an owner for the recovery plan.,復旧計画 の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""beginner""]"
phrase_0224,meeting_phrase,依頼・担当・期限,lower_intermediate,We should assign an owner for the legal requirement.,法的要件 の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""lower_intermediate""]"
phrase_0225,meeting_phrase,依頼・担当・期限,intermediate,We should assign an owner for the audit evidence.,監査証跡 の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""intermediate""]"
phrase_0226,meeting_phrase,依頼・担当・期限,beginner,We should assign an owner for the monitoring rule.,監視ルール の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""beginner""]"
phrase_0227,meeting_phrase,依頼・担当・期限,lower_intermediate,We should assign an owner for the affected endpoint.,影響を受けた端末 の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""lower_intermediate""]"
phrase_0228,meeting_phrase,依頼・担当・期限,intermediate,We should assign an owner for the patch schedule.,パッチ適用スケジュール の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""intermediate""]"
phrase_0229,meeting_phrase,依頼・担当・期限,beginner,We should assign an owner for the privileged account.,特権アカウント の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""beginner""]"
phrase_0230,meeting_phrase,依頼・担当・期限,lower_intermediate,We should assign an owner for the suspicious domain.,不審なドメイン の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""lower_intermediate""]"
phrase_0231,meeting_phrase,依頼・担当・期限,intermediate,We should assign an owner for the DDoS mitigation status.,DDoS対策状況 の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""intermediate""]"
phrase_0232,meeting_phrase,依頼・担当・期限,beginner,We should assign an owner for the service impact.,サービス影響 の担当者を割り当てるべきです。,"[""依頼・担当・期限"", ""template"", ""beginner""]"
